id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
30005,"Atabalipa/Atavalipa","30","T30017","Yo fui con el, y llegados, estava el capitan Soto con la gente que avia llevado, y dijole Hernando Pizarro, que hace vuestra merced y el respondió aquí me tienen diciendo ya sale <b>Atabalipa</b> que estava metido en su aposento, y no sale; dijo Hernando Pizarro a la <i>lengua</i> dile que salga, y volvió el <i>mensagero</i>, y dixo que espereis que luego saldrá, y entonces dijo Hernando Pizarro, decidle al perro que salga luego, y un <i>inga</i> que avía ido a <i>Maxicavilca</i> por espia en habito de <i>tallan</i>, a quien Hernando Pizarro no entendiendo que era espia de <b>Atabalipa</b> le dio con un <i>duho</i> que le descalabró entró, y dixo a <b>Atabalipa</b>, salga luego que está aqui aquel mal hombre que me descalabro en <i>Maxicavilca</i>, y entonces salió <b>Atabalipa</b> con dos vasos de oro pequeños, llenos de <i>chicha</i>, y dióle uno a Hernando Pizarro, y el otro bebió el, y luego tomó dos vasos de plata, y el uno dio alcapitan Soto, y el otro bebió el, y entonces le dijo Hernando Pizarro a la <i>lengua</i>, dile a <b>Atabalipa</b>, que de mi alcapitan Soto no hay diferencia, que ambos somos <i>capitanes</i> del rey, y por hacer lo que el rey nos manda dejamos nuestras tierras, y venimos a hacerles entender las cosas de la fe","284 - 284v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30018","y alli concertaron con <b>Atabalipa</b> que vendría otro dia que era sábado a <i>Caxamalca</i>: tenia en torno del asiento adonde estava mas de quarenta mil <i>indios de guerra</i> en sus esquadrones, y muchos <i>señores principales</i> de toda la tierra","284v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30019","y al despedirse Hernando de Soto batio las piernas a un caballo hacia adonde estava el primer esquadron de gente, y huyeron los <i>indios</i>, y aun cayeron unos sobre otros, y venidos nosotros a <i>Caxamalca</i>, mandó matar <b>Atabalipa</b> 300 <i>indios</i>, porque avian huido","284v. - 285","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30020","otro dia sabado vino <b>Atabalipa</b> con toda su gente en orden a <i>Caxamalca</i>, y en aquella legua tardó, hasta que no avia hora, y media de sol, traia 600 <i>indios</i> de libreas blancas, y coloradas, a manera de algedres que venian delante limpiando las piedras, y pajas del camino","285","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30021","el gobernador tenia un estrado a donde se asentase <b>Atabalipa</b>, que estava concertado que por buenas palabras le metiesen dentro, y despues que el mandara a su gente que se fuese a sus alojamientos, porque se temia el governador de venir a las manos","285v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30022","Entrado que fue <b>Atabalipa</b> en la plaza de <i>Caxamalca</i>, como no vido christianos ninguno preguntó al <i>inga</i> que avía venido con nosotros de <i>Maxicavilca</i>, y <i>Carran</i>, que es destos de las barbas, y respondió estaran escondidos","285v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30023","y entonces con la <i>lengua</i> salió a hablarle fray Vicente de Valverde, y procuro darle a entender al efecto que veniamos, y que por mandado del Papa un hijo que tenia capitan de la christiandad que era el emperador nuestro señor, y hablando con el palabras del santo evangelio, le dixo <b>Atabalipa</b>, quien dice eso, y el respondió Dios lo dice, y <b>Atabalipa</b> dixo como lo dice Dios, y fray Vicente le dixo verlas aquí escritas, y entonces le mostró un breviario abierto y <b>Atabalipa</b> se lo demandó, y le arrojo despues que le vio como un tiro de herron de allí, diciendo ea, ea, no escape ninguno, y los <i>indios</i> dieron un grande alarido diciendo <i>ho, inga</i>, que quiere decir hagase así, y el alarido puso gran temor","285v. - 286","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30024","y entonces se volvió fray Vicente, y suvió á donde estava el gobernador que hace vuestra merced que <b>Atabalipa</b> estaba hecho un lucifer","286","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30025","y con los 24 que estavamos con el salimos a la plaza, y fuimos derecha a las andas de <b>Atabalipa</b> haciendo callo por la gente, y estandole sacando de las andas, salieron los de a cavallo con pretales de cascaveles, y dieron en ellos, y como los <i>indios</i> huyeron, y en las calles les defendían la salida apechugaron con un lienzo de unas parés y lo hallanaron por el suelo, y allí, y en la plaza cayó tanta gente una sobre otra que se ahogaron muchos, que de ocho mil <i>indios</i> que de allí murieron, mas de los dos partes fueron muertos de esta manera","286 - 286v.","","","","sin datos"
30005,"Atabalipa/Atavalipa","30","T30026","siguiose el alcance de los <i>indios</i> aquella tarde mas de media legua, metiose a <b>Atabalipa</b> en la <i>fortaleza</i>, y preguntava si a el si le avían de matar, y le dijeron que no, porque los christianos con aquel ímpetu matavan, mas que despues no, y le hicieron entender que el se iria a <i>Quito</i> a la tierra, que su padre le dejó, y por esto mandó mandó un lleno de oro, y ansí envió a esta ciudad desde <i>Caxamalca</i> por ello, y se lo llevaron, y despues que tuvo dado el oro, dixeron que hacia gente en el rio de Lavanto, y que alli la juntava para matar a los christianos; y el governador envió a Soto al rio de Lavanto para ver si era verdad, yo fui con el, y no avia tal, sino como los <i>indios</i> <i>xauxa</i> eran enemigos de <b>Atabalipa</b> le levantaban esto.","286v.","","","","sin datos"
